titulo,precio_num,imagen_url,fuente
Piso en Centro,419000,https://fotos.imghs.net/mm-wp/1010/872/1010_174872_1_2025111316112513386.jpg,pisos.com
Piso en calle de la Encina,291900,https://fotos.imghs.net/mm-wp/1002/368/1002_632368_1_2025111312111355971.jpeg,pisos.com
Chalet en Avenida del Rodeo,1165000,https://fotos.imghs.net/mm-wp/1018/432/1018_107376432_1_2025111311115103686.jpg,pisos.com
Piso en calle del Puerto de Lumbreras,156000,https://fotos.imghs.net/mm-wp/1002/969/1002_638969_1_2025111219111369616.jpeg,pisos.com
Chalet pareado en calle de Baiona,699900,https://fotos.imghs.net/mm-wp/525651/59210177580.525651/525651_59210177580_44adc27a-aee0-4b60-ac66-044fbae9a2ed.jpg,pisos.com
Piso en calle de Federico Carlos Sainz de Robles,750000,https://fotos.imghs.net/mm-wp/1002/962/1002_638962_1_2025121217122198805.jpeg,pisos.com
Casa unifamiliar en El Boalo,595000,https://fotos.imghs.net/mm-wp/1002/774/1002_636774_1_2025121120122201074.jpeg,pisos.com
Piso en calle de Valdecanillas,240000,https://fotos.imghs.net/mm-wp/1005/613/1005_109637613_12_2025111122113710171.jpg,pisos.com
Piso en calle del Monte Esquinza,1680000,https://fotos.imghs.net/mm-wp/1018/523/1018_107328523_1_2025111115111365924.jpg,pisos.com
Piso en calle Segovia,190000,https://fotos.imghs.net/mm-wp/1002/351/1002_637351_16_2025111114111501395.jpeg,pisos.com
Dúplex en Centrico,265000,https://fotos.imghs.net/mm-wp/3053/59250602438.305300/3053_59250602438_6acc985d-055d-4f77-ac27-f46696c38e93.jpg,pisos.com
Chalet unifamiliar en calle de Garcilaso de la Vega,359500,https://fotos.imghs.net/mm-wp/510096/59233484802.510096/510096_59233484802_56c4d6a4-693c-41cd-be9e-e0e1ca899757.jpg,pisos.com
Piso en Paseo de los Jesuitas,286000,https://fotos.imghs.net/mm-wp/523960/59172110524.523960/523960_59172110524_8e3f526e-0d88-4532-81b0-81c84e3e9f3a.jpg,pisos.com
Piso en calle de Jericó,1100000,https://fotos.imghs.net/mm-wp/1005/727/1005_109659727_1_2025110522112274601.jpg,pisos.com
Piso en calle de Alcántara,549000,https://fotos.imghs.net/mm-wp/1002/823/1002_637823_30_2025110517111346825.jpeg,pisos.com
Piso en calle del Parque Vosa,188000,https://fotos.imghs.net/mm-wp/1002/730/1002_637730_1_2025110417111292306.jpeg,pisos.com
Piso en calle de San Vicente,239000,https://fotos.imghs.net/mm-wp/1002/719/1002_590719_1_2025110319111279803.jpeg,pisos.com
Piso en calle de Tucán,179900,https://fotos.imghs.net/mm-wp/1002/936/1002_636936_1_2025103111101280709.jpeg,pisos.com
Piso en Quintana,300000,https://fotos.imghs.net/mm-wp/1002/201/1002_637201_1_2025103019101286309.jpeg,pisos.com
Piso en calle Violeta,233500,https://fotos.imghs.net/mm-wp/2712/58416285734.271200/2712_58416285734_d9632398-e3ec-4c71-b8f5-b08b2c2552e8.jpg,pisos.com
Piso en calle de Ercilla,220000,https://fotos.imghs.net/mm-wp/1002/343/1002_635343_1_2025102411101238920.jpeg,pisos.com
Piso en calle Carpetana,177000,https://fotos.imghs.net/mm-wp/1005/223/1005_109560223_1_2025102322102801754.jpg,pisos.com
Piso en calle de la Jabonería,200000,https://fotos.imghs.net/mm-wp/526072/58420921627.526072/526072_58420921627_14df88c4-1b76-490a-b6f1-eb81bcf9b45b.jpg,pisos.com
Ático en calle de Fuente Cisneros,410000,https://fotos.imghs.net/mm-wp/1002/472/1002_635472_10_2025102309101262898.jpeg,pisos.com
Casa adosada en calle de Espalmador,925000,https://fotos.imghs.net/mm-wp/1005/688/1005_109518688_1_2025102022101578592.jpg,pisos.com
Piso en calle de San Andrés,396000,https://fotos.imghs.net/mm-wp/1005/492/1005_3496492_2_2022050414052579209.jpg,pisos.com
Piso en calle de Andrea Puech,230000,https://fotos.imghs.net/mm-wp/1002/250/1002_634250_1_2025102012101253737.jpeg,pisos.com
Piso en calle de la Iglesia,151000,https://fotos.imghs.net/mm-wp/998861/58363126500.998861/998861_58363126500_c9bbf59d-8aed-420d-8d6c-ae8d22d067f7.jpg,pisos.com
Piso en calle de la Infanta Mercedes,620000,https://fotos.imghs.net/mm-wp/1002/056/1002_632056_1_2025101509101237780.jpeg,pisos.com
Piso en Travesía Prado La Fraila,210000,https://fotos.imghs.net/mm-wp/996012/58426457720.996012/996012_58426457720_eec63398-94be-4f3d-8726-8f130350d2ab.jpg,pisos.com
Piso en calle de Vicente Camarón,250000,https://fotos.imghs.net/mm-wp/1002/296/1002_634296_1_2025101420101256411.jpeg,pisos.com
Piso en calle de Abel,380000,https://fotos.imghs.net/mm-wp/1005/084/1005_268571861084_1_2025101410104977579.jpg,pisos.com
Piso en calle del Cardenal Silíceo,380000,https://fotos.imghs.net/mm-wp/1002/029/1002_635029_1_2025101312102171284.jpeg,pisos.com
Piso en calle de la Violetera,310000,https://fotos.imghs.net/mm-wp/1089/426/1089_XA430-8426_1_2025121105071131250.jpg,pisos.com
Casa adosada en calle del Guadiana,615000,https://fotos.imghs.net/mm-wp/1005/556/1005_109538556_1_2025101022101065711.jpg,pisos.com
Piso en Avenida del Mediterráneo,315000,https://fotos.imghs.net/mm-wp/1002/947/1002_634947_1_2025100813102215714.jpeg,pisos.com
Piso en calle de Gloria Fuertes,356800,https://fotos.imghs.net/mm-wp/1002/862/1002_634862_1_2025100810102239463.jpeg,pisos.com
Piso en calle de Sevilla,148000,https://fotos.imghs.net/mm-wp/1002/500/1002_634500_1_2025100717102162709.jpeg,pisos.com
Piso en calle de Antonio Díaz Miguel,585000,https://fotos.imghs.net/mm-wp/997919/58387953593.997919/997919_58387953593_d8feb669-b20d-44e4-b8b0-7b4323edd111.jpg,pisos.com
Piso en calle Capitán Carlos Haya,195000,https://fotos.imghs.net/mm-wp/1002/598/1002_634598_1_2025100620102236741.jpeg,pisos.com
Piso en calle de Lisboa,349900,https://fotos.imghs.net/mm-wp/1002/485/1002_633485_1_2025100611102210522.jpeg,pisos.com
Piso en calle de Alonso Cano,980000,https://fotos.imghs.net/mm-wp/993204/58411907406.993204/993204_58411907406_a5c0456f-9504-4f19-a232-eabac08645c9.jpg,pisos.com
Piso en calle de Nuestra Señora del Villar,221000,https://fotos.imghs.net/mm-wp/528352/54186886551.528352/528352_54186886551_bfe240ab-ff39-4714-b6ac-7bae7fc2aac5.jpg,pisos.com
Piso en calle del Gral. Margallo,779000,https://fotos.imghs.net/mm-wp/1002/452/1002_620452_6_2025103018101280081.jpeg,pisos.com
Chalet en calle de las Eras,465000,https://fotos.imghs.net/mm-wp/1005/756/1005_2637956511756_1_2025092313095013666.jpg,pisos.com
Piso en calle de Torrelaguna,366000,https://fotos.imghs.net/mm-wp/513149/57534806698.513149/513149_57534806698_100536e0-8d8c-4cc9-b403-0f766d7daafb.jpg,pisos.com
Piso en calle de José María Pereda,339000,https://fotos.imghs.net/mm-wp/1089/391/1089_XA544-8391_1_2025121016102731250.jpg,pisos.com
Piso en calle de Arturo Soria,900000,https://fotos.imghs.net/mm-wp/1005/834/1005_4190834_36_2025091914091849118.jpg,pisos.com
Piso en calle de José Barbastre,299900,https://fotos.imghs.net/mm-wp/1002/786/1002_631786_1_2025091820092164906.jpeg,pisos.com
Piso en calle de la Solana,375000,https://fotos.imghs.net/mm-wp/1005/194/1005_4191194_27_2025091809092351245.jpg,pisos.com
Piso en Avenida de América,1830000,https://fotos.imghs.net/mm-wp/511322/57555494129.511322/511322_57555494129_e64bb6ec-26a2-4d38-ae82-dbf6e010fb28.jpg,pisos.com
Piso en Plaza de Verín,315000,https://fotos.imghs.net/mm-wp/1010/288/1010_7053288_17_2025091516092653399.jpg,pisos.com
Piso en calle de Quero,270000,https://fotos.imghs.net/mm-wp/1002/784/1002_631784_1_2025091219095781291.jpeg,pisos.com
Piso en calle de Caracas,2895000,https://fotos.imghs.net/mm-wp/1018/821/1018_107061821_1_2025091205094346507.jpg,pisos.com
Casa adosada en Travesía de G,156000,https://fotos.imghs.net/mm-wp/1002/676/1002_631676_1_2025091112095781253.jpeg,pisos.com
Ático en calle Arratia,375000,https://fotos.imghs.net/mm-wp/1005/410/1005_39185410_1_2025110422112331928.jpg,pisos.com
Piso en Plaza de los Reyes Magos,1290000,https://fotos.imghs.net/mm-wp/1018/098/1018_107031098_5_2025090613091066576.jpg,pisos.com
"Chalet unifamiliar en calle Alcor, 60",1540000,https://fotos.imghs.net/mm-wp/994129/57502041196.994129/994129_57502041196_50233831-721a-451a-8fff-f2d6b7f2b7f6.jpg,pisos.com
Piso en calle de Bustamante,579000,https://fotos.imghs.net/mm-wp/1002/157/1002_631157_1_2025091112095789253.jpeg,pisos.com
Casa adosada en calle del Castillo,449900,https://fotos.imghs.net/mm-wp/1002/886/1002_627886_1_2025080811085845187.jpeg,pisos.com
Piso en calle de Españoleto,185000,https://fotos.imghs.net/mm-wp/1005/884/1005_262624125884_1_2025111720114889522.jpg,pisos.com
